2025-07-15 13:36:49,648: 'h'
2025-07-15 13:36:49,677: 'e'
2025-07-15 13:36:49,841: 'l'
2025-07-15 13:36:50,037: 'l'
2025-07-15 13:36:50,446: 'o'
2025-07-15 13:36:54,406: 'h'
2025-07-15 13:36:54,578: 'o'
2025-07-15 13:36:54,709: 'w'
2025-07-15 13:36:54,960: Key.space
2025-07-15 13:36:55,309: 'a'
2025-07-15 13:36:55,454: 'r'
2025-07-15 13:36:55,650: 'e'
2025-07-15 13:36:55,706: Key.space
2025-07-15 13:36:56,091: 'y'
2025-07-15 13:36:56,221: 'o'
2025-07-15 13:36:56,402: 'u'
2025-07-15 13:36:56,692: Key.space
2025-07-15 13:37:00,747: Key.backspace
2025-07-15 13:37:01,020: Key.shift
2025-07-15 13:37:01,160: '?'
2025-07-15 13:37:01,572: Key.space
2025-07-15 13:37:01,738: Key.shift
2025-07-15 13:37:01,817: 'I'
2025-07-15 13:37:01,919: Key.space
2025-07-15 13:37:02,063: 'a'
2025-07-15 13:37:02,186: 'm'
2025-07-15 13:37:02,263: Key.space
2025-07-15 13:37:02,677: 'g'
2025-07-15 13:37:02,926: 'o'
2025-07-15 13:37:03,068: 'o'
2025-07-15 13:37:03,471: 'd'
2025-07-15 13:37:03,622: Key.space
2025-07-15 13:37:03,903: 'h'
2025-07-15 13:37:04,018: 'e'
2025-07-15 13:37:04,285: 'r'
2025-07-15 13:37:04,511: 'e'
2025-07-15 13:37:05,050: Key.shift
2025-07-15 13:37:05,286: '!'
2025-07-15 13:37:10,396: Key.esc
